Country,Date_reported,Country_code,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Population,New_cases_pc,Cumulative_cases_pc,New_deaths_pc,Cumulative_deaths_pc
Argentina,12/15/2020,AR,AMRO,3558,1498160,98,40766,44.494502,7.99649E-05,0.033670677,2.20252E-06,0.000916203
Argentina,12/17/2020,AR,AMRO,6981,1510203,163,41204,44.494502,0.000156896,0.03394134,3.66337E-06,0.000926047
Argentina,11/8/2020,AR,AMRO,11786,1228814,370,33136,44.494502,0.000264887,0.02761721,8.31563E-06,0.000744721
Argentina,11/7/2020,AR,AMRO,11100,1217028,246,32766,44.494502,0.000249469,0.027352323,5.52877E-06,0.000736406
Argentina,6/2/2020,AR,AMRO,637,16851,11,541,44.494502,1.43164E-05,0.000378721,2.47222E-07,1.21588E-05
Argentina,6/3/2020,AR,AMRO,564,17415,19,560,44.494502,1.26757E-05,0.000391397,4.27019E-07,1.25858E-05
Argentina,11/11/2020,AR,AMRO,8317,1250499,347,33907,44.494502,0.000186922,0.028104573,7.79872E-06,0.000762049
Argentina,6/8/2020,AR,AMRO,983,22020,14,656,44.494502,2.20926E-05,0.000494893,3.14646E-07,1.47434E-05
Argentina,8/23/2020,AR,AMRO,8159,329043,228,6795,44.494502,0.000183371,0.007395138,5.12423E-06,0.000152715
Argentina,11/14/2020,AR,AMRO,11163,1284519,251,34782,44.494502,0.000250885,0.028869162,5.64115E-06,0.000781715
Argentina,11/16/2020,AR,AMRO,8468,1304846,262,35307,44.494502,0.000190316,0.029326005,5.88837E-06,0.000793514
Argentina,8/28/2020,AR,AMRO,10550,370188,283,7944,44.494502,0.000237108,0.008319859,6.36034E-06,0.000178539
Argentina,6/14/2020,AR,AMRO,1391,28764,30,802,44.494502,3.12623E-05,0.000646462,6.74241E-07,1.80247E-05
Argentina,1/3/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/4/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,6/17/2020,AR,AMRO,1208,32785,20,862,44.494502,2.71494E-05,0.000736833,4.49494E-07,1.93732E-05
Argentina,12/30/2020,AR,AMRO,6586,1590513,218,42868,44.494502,0.000148018,0.035746282,4.89948E-06,0.000963445
Argentina,12/31/2020,AR,AMRO,11650,1602163,150,43018,44.494502,0.00026183,0.036008112,3.3712E-06,0.000966816
Argentina,1/1/2021,AR,AMRO,11765,1613928,145,43163,44.494502,0.000264415,0.036272526,3.25883E-06,0.000970075
Argentina,6/22/2020,AR,AMRO,1634,41204,13,992,44.494502,3.67236E-05,0.000926047,2.92171E-07,2.22949E-05
Argentina,10/15/2020,AR,AMRO,13305,917035,386,24572,44.494502,0.000299026,0.020610074,8.67523E-06,0.000552248
Argentina,10/16/2020,AR,AMRO,14932,931967,349,24921,44.494502,0.000335592,0.020945667,7.84367E-06,0.000560092
Argentina,10/17/2020,AR,AMRO,17096,949063,421,25342,44.494502,0.000384227,0.021329894,9.46184E-06,0.000569554
Argentina,10/18/2020,AR,AMRO,16546,965609,381,25723,44.494502,0.000371866,0.02170176,8.56286E-06,0.000578116
Argentina,9/9/2020,AR,AMRO,9215,488007,267,10179,44.494502,0.000207104,0.010967805,6.00074E-06,0.00022877
Argentina,9/10/2020,AR,AMRO,12027,500034,278,10457,44.494502,0.000270303,0.011238108,6.24796E-06,0.000235018
Argentina,9/11/2020,AR,AMRO,12259,512293,256,10713,44.494502,0.000275517,0.011513625,5.75352E-06,0.000240771
Argentina,9/12/2020,AR,AMRO,11905,524198,281,10994,44.494502,0.000267561,0.011781186,6.31539E-06,0.000247087
Argentina,3/2/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,3/3/2020,AR,AMRO,5,5,0,0,44.494502,1.12373E-07,1.12373E-07,0,0
Argentina,3/4/2020,AR,AMRO,0,5,0,0,44.494502,0,1.12373E-07,0,0
Argentina,9/16/2020,AR,AMRO,9909,565446,298,11710,44.494502,0.000222702,0.012708222,6.69746E-06,0.000263179
Argentina,3/5/2020,AR,AMRO,0,5,0,0,44.494502,0,1.12373E-07,0,0
Argentina,3/6/2020,AR,AMRO,1,6,0,0,44.494502,2.24747E-08,1.34848E-07,0,0
Argentina,3/7/2020,AR,AMRO,7,13,1,1,44.494502,1.57323E-07,2.92171E-07,2.24747E-08,2.24747E-08
Argentina,9/20/2020,AR,AMRO,11945,613658,214,12705,44.494502,0.00026846,0.013791771,4.80958E-06,0.000285541
Argentina,5/27/2020,AR,AMRO,552,12628,19,471,44.494502,1.2406E-05,0.00028381,4.27019E-07,1.05856E-05
Argentina,5/26/2020,AR,AMRO,723,12076,7,452,44.494502,1.62492E-05,0.000271404,1.57323E-07,1.01586E-05
Argentina,5/25/2020,AR,AMRO,704,11353,6,445,44.494502,1.58222E-05,0.000255155,1.34848E-07,1.00012E-05
Argentina,12/14/2020,AR,AMRO,5274,1494602,62,40668,44.494502,0.000118531,0.033590712,1.39343E-06,0.000914001
Argentina,7/10/2020,AR,AMRO,3604,87030,53,1707,44.494502,8.09988E-05,0.001955972,1.19116E-06,3.83643E-05
Argentina,12/16/2020,AR,AMRO,5062,1503222,275,41041,44.494502,0.000113767,0.033784444,6.18054E-06,0.000922384
Argentina,8/15/2020,AR,AMRO,7498,276072,182,5428,44.494502,0.000168515,0.006204632,4.09039E-06,0.000121993
Argentina,8/16/2020,AR,AMRO,6365,282437,137,5565,44.494502,0.000143051,0.006347683,3.07903E-06,0.000125072
Argentina,11/6/2020,AR,AMRO,9516,1205928,468,32520,44.494502,0.000213869,0.027102854,1.05182E-05,0.000730877
Argentina,11/10/2020,AR,AMRO,5331,1242182,212,33560,44.494502,0.000119813,0.027917651,4.76463E-06,0.00075425
Argentina,8/21/2020,AR,AMRO,6693,312659,292,6406,44.494502,0.000150423,0.007026913,6.56261E-06,0.000143973
Argentina,11/12/2020,AR,AMRO,11977,1262476,276,34183,44.494502,0.000269179,0.028373753,6.20301E-06,0.000768252
Argentina,7/18/2020,AR,AMRO,3623,114783,61,2133,44.494502,8.14258E-05,0.002579712,1.37096E-06,4.79385E-05
Argentina,8/24/2020,AR,AMRO,7759,336802,152,6947,44.494502,0.000174381,0.007569519,3.41615E-06,0.000156132
Argentina,8/25/2020,AR,AMRO,5352,342154,132,7079,44.494502,0.000120285,0.007689804,2.96666E-06,0.000159098
Argentina,4/27/2020,AR,AMRO,137,3838,0,179,44.494502,3.07903E-06,8.62578E-05,0,4.02297E-06
Argentina,4/28/2020,AR,AMRO,54,3892,13,192,44.494502,1.21363E-06,8.74715E-05,2.92171E-07,4.31514E-06
Argentina,12/24/2020,AR,AMRO,8141,1555279,257,42254,44.494502,0.000182966,0.034954409,5.77599E-06,0.000949645
Argentina,6/15/2020,AR,AMRO,1531,30295,17,819,44.494502,3.44087E-05,0.000680871,3.8207E-07,1.84068E-05
Argentina,11/20/2020,AR,AMRO,10332,1339337,241,36347,44.494502,0.000232208,0.03010118,5.4164E-06,0.000816887
Argentina,6/18/2020,AR,AMRO,1374,34159,24,886,44.494502,3.08802E-05,0.000767713,5.39392E-07,1.99126E-05
Argentina,12/28/2020,AR,AMRO,3713,1578267,79,42501,44.494502,8.34485E-05,0.035471057,1.7755E-06,0.000955197
Argentina,5/4/2020,AR,AMRO,149,4681,12,241,44.494502,3.34873E-06,0.000105204,2.69696E-07,5.4164E-06
Argentina,1/3/2021,AR,AMRO,4080,1629594,74,43319,44.494502,9.16967E-05,0.036624615,1.66313E-06,0.000973581
Argentina,1/4/2021,AR,AMRO,5240,1634834,56,43375,44.494502,0.000117767,0.036742382,1.25858E-06,0.00097484
Argentina,1/5/2021,AR,AMRO,5884,1640718,107,43482,44.494502,0.000132241,0.036874623,2.40479E-06,0.000977244
Argentina,9/6/2020,AR,AMRO,10684,461882,217,9685,44.494502,0.00024012,0.010380653,4.87701E-06,0.000217667
Argentina,9/7/2020,AR,AMRO,9924,471806,122,9807,44.494502,0.000223039,0.010603692,2.74191E-06,0.000220409
Argentina,10/19/2020,AR,AMRO,13510,979119,384,26107,44.494502,0.000303633,0.022005393,8.63028E-06,0.000586747
Argentina,10/20/2020,AR,AMRO,10561,989680,160,26267,44.494502,0.000237355,0.022242748,3.59595E-06,0.000590343
Argentina,10/21/2020,AR,AMRO,12982,1002662,449,26716,44.494502,0.000291766,0.022534514,1.00911E-05,0.000600434
Argentina,10/22/2020,AR,AMRO,18735,1021397,459,27175,44.494502,0.000421063,0.022955578,1.03159E-05,0.00061075
Argentina,9/13/2020,AR,AMRO,11507,535705,212,11206,44.494502,0.000258616,0.012039802,4.76463E-06,0.000251851
Argentina,9/14/2020,AR,AMRO,10776,546481,101,11307,44.494502,0.000242187,0.012281989,2.26994E-06,0.000254121
Argentina,5/19/2020,AR,AMRO,263,8068,7,373,44.494502,5.91084E-06,0.000181326,1.57323E-07,8.38306E-06
Argentina,7/5/2020,AR,AMRO,2845,72786,50,1453,44.494502,6.39405E-05,0.001635843,1.12373E-06,3.26557E-05
