"Country","Date_reported","Country_code","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Population","New_cases_pc","Cumulative_cases_pc","New_deaths_pc","Cumulative_deaths_pc"
"France","10/3/2020","FR","EURO",11543,563796,118,31926,66.941698,0.000172434,0.008422194,1.76273e-06,0.000476922
"France","1/3/2020","FR","EURO",0,0,0,0,66.941698,0,0,0,0
"Germany","4/3/2020","DE","EURO",6174,79696,145,1017,82.914191,7.44625e-05,0.000961186,1.7488e-06,1.22657e-05
"Germany","7/3/2020","DE","EURO",446,195674,9,9003,82.914191,5.37906e-06,0.002359958,1.08546e-07,0.000108582
"Germany","10/3/2020","DE","EURO",2563,296958,19,9527,82.914191,3.09115e-05,0.00358151,2.29153e-07,0.000114902
"Germany","1/3/2020","DE","EURO",0,0,0,0,82.914191,0,0,0,0
"Greece","7/3/2020","GR","EURO",26,3458,0,192,10.725886,2.42404e-06,0.000322398,0,1.79006e-05
"Greece","4/3/2020","GR","EURO",139,1514,3,53,10.725886,1.29593e-05,0.000141154,2.79697e-07,4.94132e-06
"Greece","10/3/2020","GR","EURO",460,19346,5,398,10.725886,4.28869e-05,0.001803674,4.66162e-07,3.71065e-05
"Greece","1/3/2020","GR","EURO",0,0,0,0,10.725886,0,0,0,0
"Hungary","4/3/2020","HU","EURO",38,623,5,26,9.7676,3.89041e-06,6.37823e-05,5.11896e-07,2.66186e-06
"Hungary","10/3/2020","HU","EURO",1086,29717,14,812,9.7676,0.000111184,0.003042406,1.43331e-06,8.3132e-05
"Hungary","1/3/2020","HU","EURO",0,0,0,0,9.7676,0,0,0,0
"Hungary","7/3/2020","HU","EURO",9,4166,1,587,9.7676,9.21414e-07,0.000426512,1.02379e-07,6.00966e-05
"Iceland","10/3/2020","IS","EURO",40,2809,0,10,0.352722,0.000113404,0.007963779,0,2.83509e-05
"Iceland","7/3/2020","IS","EURO",5,1830,0,10,0.352722,1.41755e-05,0.005188222,0,2.83509e-05
"Iceland","1/3/2020","IS","EURO",0,0,0,0,0.352722,0,0,0,0
"Iceland","4/3/2020","IS","EURO",99,1319,2,4,0.352722,0.000280674,0.003739489,5.67019e-06,1.13404e-05
"India","4/3/2020","IN","SEARO",336,2301,6,56,1354.051854,2.48144e-07,1.69934e-06,4.43114e-09,4.13574e-08
"India","1/3/2020","IN","SEARO",0,0,0,0,1354.051854,0,0,0,0
"India","7/3/2020","IN","SEARO",20903,625544,379,18213,1354.051854,1.54374e-05,0.000461979,2.79901e-07,1.34507e-05
"India","10/3/2020","IN","SEARO",79476,6473544,1069,100842,1354.051854,5.86949e-05,0.004780869,7.89482e-07,7.44743e-05
"Indonesia","7/3/2020","ID","SEARO",1624,59394,53,2987,265.0153,6.12795e-06,0.000224115,1.99988e-07,1.1271e-05
"Indonesia","10/3/2020","ID","SEARO",4317,295499,116,10972,265.0153,1.62896e-05,0.001115026,4.37711e-07,4.14014e-05
"Indonesia","1/3/2020","ID","SEARO",0,0,0,0,265.0153,0,0,0,0
"Indonesia","4/3/2020","ID","SEARO",196,1986,11,181,265.0153,7.3958e-07,7.49391e-06,4.1507e-08,6.82979e-07
"Ireland","1/3/2020","IE","EURO",0,0,0,0,4.857015,0,0,0,0
"Ireland","10/3/2020","IE","EURO",466,37063,-5,1801,4.857015,9.59437e-05,0.007630819,-1.02944e-06,0.000370804
