"Country","Date_reported","Country_code","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Population","New_cases_pc","Cumulative_cases_pc","New_deaths_pc","Cumulative_deaths_pc"
"Bulgaria","5/28/2020","BG","EURO",0,2460,0,133,7.025037,0,0.000350176,0,1.89323e-05
"Bulgaria","2/28/2020","BG","EURO",0,0,0,0,7.025037,0,0,0,0
"Bulgaria","9/28/2020","BG","EURO",58,20055,7,796,7.025037,8.25618e-06,0.002854789,9.96436e-07,0.000113309
"Bulgaria","3/28/2020","BG","EURO",29,293,0,3,7.025037,4.12809e-06,4.1708e-05,0,4.27044e-07
"Bulgaria","1/28/2021","BG","EURO",598,217014,28,8944,7.025037,8.51241e-05,0.03089151,3.98574e-06,0.001273161
"Bulgaria","7/28/2020","BG","EURO",194,10621,7,347,7.025037,2.76155e-05,0.001511878,9.96436e-07,4.93948e-05
"Bulgaria","6/28/2020","BG","EURO",112,4625,1,216,7.025037,1.5943e-05,0.00065836,1.42348e-07,3.07472e-05
"Bulgaria","1/28/2020","BG","EURO",0,0,0,0,7.025037,0,0,0,0
"Bulgaria","11/28/2020","BG","EURO",3327,139955,151,3680,7.025037,0.000473592,0.019922315,2.14945e-05,0.000523841
"Bulgaria","10/28/2020","BG","EURO",2569,42701,25,1161,7.025037,0.000365692,0.006078402,3.5587e-06,0.000165266
"Canada","1/28/2020","CA","AMRO",1,7,0,0,37.058856,2.69841e-08,1.88889e-07,0,0
"Canada","9/28/2020","CA","AMRO",1215,151671,7,9262,37.058856,3.27857e-05,0.004092706,1.88889e-07,0.000249927
"Canada","1/28/2021","CA","AMRO",4011,757022,165,19403,37.058856,0.000108233,0.02042756,4.45238e-06,0.000523573
"Canada","6/28/2020","CA","AMRO",172,102794,4,8508,37.058856,4.64127e-06,0.002773804,1.07936e-07,0.000229581
"Canada","5/28/2020","CA","AMRO",941,86939,105,6671,37.058856,2.5392e-05,0.002345971,2.83333e-06,0.000180011
"Canada","2/28/2020","CA","AMRO",3,18,0,0,37.058856,8.09523e-08,4.85714e-07,0,0
"Canada","7/28/2020","CA","AMRO",355,113911,5,8890,37.058856,9.57936e-06,0.003073786,1.34921e-07,0.000239889
"Canada","8/28/2020","CA","AMRO",448,126417,4,9094,37.058856,1.20889e-05,0.003411249,1.07936e-07,0.000245393
"Canada","10/28/2020","CA","AMRO",4109,220213,27,9973,37.058856,0.000110878,0.00594225,7.28571e-07,0.000269112
"Canada","12/28/2020","CA","AMRO",9827,546500,179,14899,37.058856,0.000265173,0.014746812,4.83015e-06,0.000402036
"Canada","11/28/2020","CA","AMRO",5631,353097,89,11799,37.058856,0.000151947,0.009528006,2.40159e-06,0.000318385
"Canada","3/28/2020","CA","AMRO",463,4018,4,39,37.058856,1.24936e-05,0.000108422,1.07936e-07,1.05238e-06
"Canada","4/28/2020","CA","AMRO",1538,47316,128,2617,37.058856,4.15016e-05,0.00127678,3.45397e-06,7.06174e-05
"Chile","10/28/2020","CL","AMRO",927,504525,23,14026,18.751405,4.94363e-05,0.026905984,1.22657e-06,0.000747997
"Chile","8/28/2020","CL","AMRO",1737,404102,82,11072,18.751405,9.26331e-05,0.021550492,4.37301e-06,0.000590462
"Chile","2/28/2020","CL","AMRO",0,0,0,0,18.751405,0,0,0,0
