"","Country","Date_reported","Ave_NewCase","Ave_NewDeath","CasePercent_Change.x","DeathPercent_Change.x","Cumul_Case","Cumul_Death","CasePercent_Change.y","DeathPercent_Change.y","X","Quarter","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag.Codes","Country_code","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Population","New_cases_pc","Cumulative_cases_pc","New_deaths_pc","Cumulative_deaths_pc","GDP","X.GDP..QTR.","X.GDP..TOTAL.","Unemployment","X.unem..QTR.","X.unem..TOTAL."
"11","Belgium","4/3/2020",511.956043956044,92.8351648351648,0.910309544627316,0.100586018867401,46588,8448,0.911284440881367,0.110362257792755,3,"Q1.2020","BEL","HUR","TOT","PC_LF","M","2020-04",4.9,NA,"BE","EURO",1478,20065,219,1828,11.40374,0.000129607,0.00175951,1.92e-05,0.000160298,"540,442",-3.416970477,NA,4.9,-0.039215686,NA
"12","Belgium","7/3/2020",657.315217391304,4.22826086956522,0.283929011389386,0.954454102849144,60473,389,0.298038121404654,0.953953598484849,38,"Q2.2020","BEL","HUR","TOT","PC_LF","M","2020-07",5.9,NA,"BE","EURO",93,62306,5,9631,11.40374,8.16e-06,0.005463646,4.38e-07,0.000844547,"476,577",-11.817223,NA,5.9,0.204081633,NA
"13","Canada","1/3/2020",70.9775280898876,0.741573033707865,NA,NA,6317,66,NA,NA,109,"Q4.2019","CAN","HUR","TOT","PC_LF","M","2020-01",5.6,NA,"CA","AMRO",0,0,0,0,37.058856,0,0,0,0,"1,741,488",7.707789052,NA,5.6,0,NA
"14","Canada","10/3/2020",4458.75,66.304347826087,61.8191784074719,88.4104084321475,410205,6100,63.9366788032294,91.4242424242424,74,"Q3.2020","CAN","HUR","TOT","PC_LF","M","2020-10",9,NA,"CA","AMRO",1777,160535,22,9319,37.058856,4.8e-05,0.004331893,5.94e-07,0.000251465,"1,650,028",-11.31457373,-0.052518306,9,-0.174311927,0.377777778
"15","Canada","4/3/2020",1065.1978021978,92.9230769230769,0.761099455632677,0.401462799495586,96933,8456,0.763696200680148,0.386229508196721,4,"Q1.2020","CAN","HUR","TOT","PC_LF","M","2020-04",13.1,NA,"CA","AMRO",1109,10114,22,127,37.058856,2.99e-05,0.000272917,5.94e-07,3.43e-06,"1,708,880",0.094407559,NA,13.1,1.339285714,NA
"16","Canada","7/3/2020",565.771739130435,8.21739130434783,0.468857579349968,0.911567808810826,52051,756,0.463020849452715,0.910596026490066,39,"Q2.2020","CAN","HUR","TOT","PC_LF","M","2020-07",10.9,NA,"CA","AMRO",0,104204,0,8591,37.058856,0,0.002811852,0,0.00023182,"1,515,527",-1.87241647,NA,10.9,-0.167938931,NA
"17","Chile","1/3/2020",27.5168539325843,0.0898876404494382,NA,NA,2449,8,NA,NA,110,"Q4.2019","CHL","HUR","TOT","PC_LF","M","2020-01",8.117333,NA,"CL","AMRO",0,0,0,0,18.751405,0,0,0,0,"429,980",-4.275588305,NA,8.117333,0.106580942,NA
"18","Chile","10/3/2020",1572.28260869565,41.0217391304348,56.1388943135619,455.366847826087,144650,3774,58.0649244589628,470.75,75,"Q3.2020","CHL","HUR","TOT","PC_LF","M","2020-10",11.17528,NA,"CL","AMRO",1840,466590,45,12867,18.751405,9.81e-05,0.024882935,2.4e-06,0.000686189,"403,125",5.222944289,-0.062456393,11.17528,-0.088767702,0.273634934
"19","Chile","4/3/2020",3006.04395604396,61.1758241758242,0.911897987943615,0.49130255012608,273550,5567,0.891116488074663,0.475092739798622,5,"Q1.2020","CHL","HUR","TOT","PC_LF","M","2020-04",10.88574,NA,"CL","AMRO",373,3404,2,18,18.751405,1.99e-05,0.000181533,1.07e-07,9.6e-07,"442,744",2.968463318,NA,10.88574,0.34104884,NA
"20","Chile","7/3/2020",2014.14130434783,77.7173913043478,0.329969443627665,0.27039385821729,185301,7150,0.322606470480717,0.284354230285612,40,"Q2.2020","CHL","HUR","TOT","PC_LF","M","2020-07",12.26392,NA,"CL","AMRO",2498,284541,167,5920,18.751405,0.000133217,0.015174383,8.91e-06,0.00031571,"383,115",-13.468096,NA,12.26392,0.126604163,NA
"21","Colombia","1/3/2020",7.8876404494382,0.112359550561798,NA,NA,702,10,NA,NA,111,"Q4.2019","COL","HUR","TOT","PC_LF","M","2020-01",10.59648,NA,"CO","AMRO",0,0,0,0,49.83424,0,0,0,0,"694,493",0.772541285,NA,10.59648,-0.03134154,NA
"22","Colombia","10/3/2020",8658.90217391304,184.554347826087,1096.78104484083,1641.53369565217,796619,16979,1133.7849002849,1696.9,76,"Q3.2020","COL","HUR","TOT","PC_LF","M","2020-10",16.05399,NA,"CO","AMRO",5660,835339,198,26196,49.83424,0.000113577,0.016762351,3.97e-06,0.000525663,"631,906",9.381009684,-0.090118979,16.05399,-0.174099297,0.339947265
