,Quarter,Country,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag.Codes,Date_reported,Country_code,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Population,New_cases_pc,Cumulative_cases_pc,New_deaths_pc,Cumulative_deaths_pc,GDP,%GDP (QTR),%GDP (TOTAL),Unemployment,%unem (QTR),%unem (TOTAL)
74,Q3.2020,Canada,CAN,HUR,TOT,PC_LF,M,2020-10,9,,10/3/2020,CA,AMRO,1777,160535,22,9319,37.058856,4.80E-05,0.004331893,5.94E-07,0.000251465,"1,650,028",-11.31457373,-0.052518306,9,-0.174311927,0.377777778
110,Q4.2019,Chile,CHL,HUR,TOT,PC_LF,M,2020-01,8.117333,,1/3/2020,CL,AMRO,0,0,0,0,18.751405,0,0,0,0,"429,980",-4.275588305,,8.117333,0.106580942,
5,Q1.2020,Chile,CHL,HUR,TOT,PC_LF,M,2020-04,10.88574,,4/3/2020,CL,AMRO,373,3404,2,18,18.751405,1.99E-05,0.000181533,1.07E-07,9.60E-07,"442,744",2.968463318,,10.88574,0.34104884,
40,Q2.2020,Chile,CHL,HUR,TOT,PC_LF,M,2020-07,12.26392,,7/3/2020,CL,AMRO,2498,284541,167,5920,18.751405,0.000133217,0.015174383,8.91E-06,0.00031571,"383,115",-13.468096,,12.26392,0.126604163,
75,Q3.2020,Chile,CHL,HUR,TOT,PC_LF,M,2020-10,11.17528,,10/3/2020,CL,AMRO,1840,466590,45,12867,18.751405,9.81E-05,0.024882935,2.40E-06,0.000686189,"403,125",5.222944289,-0.062456393,11.17528,-0.088767702,0.273634934
111,Q4.2019,Colombia,COL,HUR,TOT,PC_LF,M,2020-01,10.59648,,1/3/2020,CO,AMRO,0,0,0,0,49.83424,0,0,0,0,"694,493",0.772541285,,10.59648,-0.03134154,
6,Q1.2020,Colombia,COL,HUR,TOT,PC_LF,M,2020-04,20.13249,,4/3/2020,CO,AMRO,159,1065,1,17,49.83424,3.19E-06,2.14E-05,2.01E-08,3.41E-07,"677,975",-2.378521584,,20.13249,0.899922427,
41,Q2.2020,Colombia,COL,HUR,TOT,PC_LF,M,2020-07,19.43816,,7/3/2020,CO,AMRO,4163,102009,136,3470,49.83424,8.35E-05,0.002046966,2.73E-06,6.96E-05,"577,711",-14.78868273,,19.43816,-0.034488034,
76,Q3.2020,Colombia,COL,HUR,TOT,PC_LF,M,2020-10,16.05399,,10/3/2020,CO,AMRO,5660,835339,198,26196,49.83424,0.000113577,0.016762351,3.97E-06,0.000525663,"631,906",9.381009684,-0.090118979,16.05399,-0.174099297,0.339947265
112,Q4.2019,Czechia,CZE,HUR,TOT,PC_LF,M,2020-01,2,,1/3/2020,CZ,EURO,0,0,0,0,10.62643,0,0,0,0,"409,939",0.383759893,,2,0,
7,Q1.2020,Czechia,CZE,HUR,TOT,PC_LF,M,2020-04,2.2,,4/3/2020,CZ,EURO,269,3858,5,44,10.62643,2.53E-05,0.000363057,4.71E-07,4.14E-06,"396,444",-3.291986784,,2.2,0.1,
42,Q2.2020,Czechia,CZE,HUR,TOT,PC_LF,M,2020-07,2.7,,7/3/2020,CZ,EURO,132,12178,2,351,10.62643,1.24E-05,0.00114601,1.88E-07,3.30E-05,"362,709",-8.50949507,,2.7,0.227272727,
77,Q3.2020,Czechia,CZE,HUR,TOT,PC_LF,M,2020-10,2.8,,10/3/2020,CZ,EURO,3796,78051,21,699,10.62643,0.000357223,0.007344988,1.98E-06,6.58E-05,"387,876",6.9385772,-0.053820203,2.8,0.037037037,0.285714286
113,Q4.2019,Denmark,DNK,HUR,TOT,PC_LF,M,2020-01,5,,1/3/2020,DK,EURO,0,0,0,0,5.789957,0,0,0,0,"312,605",0.087246128,,5,-0.04,
8,Q1.2020,Denmark,DNK,HUR,TOT,PC_LF,M,2020-04,4.9,,4/3/2020,DK,EURO,279,3386,19,123,5.789957,4.82E-05,0.000584806,3.28E-06,2.12E-05,"307,870",-1.331010768,,4.9,-0.02,
43,Q2.2020,Denmark,DNK,HUR,TOT,PC_LF,M,2020-07,6.3,,7/3/2020,DK,EURO,21,12815,0,606,5.789957,3.63E-06,0.002213315,0,0.000104664,"286,100",-6.769371899,,6.3,0.285714286,
78,Q3.2020,Denmark,DNK,HUR,TOT,PC_LF,M,2020-10,5.9,,10/3/2020,DK,EURO,536,28932,1,652,5.789957,9.26E-05,0.004996928,1.73E-07,0.000112609,"301,042",5.198222299,-0.036989172,5.9,-0.063492063,0.152542373
114,Q4.2019,Estonia,EST,HUR,TOT,PC_LF,M,2020-01,4.7,,1/3/2020,EE,EURO,0,0,0,0,1.321977,0,0,0,0,"46,243",0.484044841,,4.7,0.127659574,
9,Q1.2020,Estonia,EST,HUR,TOT,PC_LF,M,2020-04,6,,4/3/2020,EE,EURO,79,858,6,11,1.321977,5.98E-05,0.000649028,4.54E-06,8.32E-06,"45,864",-0.820471658,,6,0.276595745,
44,Q2.2020,Estonia,EST,HUR,TOT,PC_LF,M,2020-07,7.8,,7/3/2020,EE,EURO,1,1990,0,63,1.321977,7.56E-07,0.001505321,0,4.77E-05,"43,344",-5.493447446,,7.8,0.3,
79,Q3.2020,Estonia,EST,HUR,TOT,PC_LF,M,2020-10,8.1,,10/3/2020,EE,EURO,57,3507,1,66,1.321977,4.31E-05,0.002652845,7.56E-07,4.99E-05,"44,756",3.255995705,-0.032156218,8.1,0.038461538,0.419753086
115,Q4.2019,Finland,FIN,HUR,TOT,PC_LF,M,2020-01,6.9,,1/3/2020,FI,EURO,0,0,0,0,5.515525,0,0,0,0,"252,718",-0.65725697,,6.9,0,
10,Q1.2020,Finland,FIN,HUR,TOT,PC_LF,M,2020-04,7.3,,4/3/2020,FI,EURO,72,1518,2,19,5.515525,1.31E-05,0.000275223,3.63E-07,3.44E-06,"248,866",-1.524229591,,7.3,0.057971014,
45,Q2.2020,Finland,FIN,HUR,TOT,PC_LF,M,2020-07,8.6,,7/3/2020,FI,EURO,5,7241,0,328,5.515525,9.07E-07,0.00131284,0,5.95E-05,"239,219",-3.876491339,,8.6,0.178082192,
80,Q3.2020,Finland,FIN,HUR,TOT,PC_LF,M,2020-10,8.2,,10/3/2020,FI,EURO,101,10204,1,345,5.515525,1.83E-05,0.001850051,1.81E-07,6.26E-05,"246,765",3.154509092,-0.0235559,8.2,-0.046511628,0.158536585
116,Q4.2019,France,FRA,HUR,TOT,PC_LF,M,2020-01,7.7,,1/3/2020,FR,EURO,0,0,0,0,66.941698,0,0,0,0,"2,906,402",-0.198585508,,7.7,-0.077922078,
11,Q1.2020,France,FRA,HUR,TOT,PC_LF,M,2020-04,7.3,,4/3/2020,FR,EURO,2066,58327,471,4490,66.941698,3.09E-05,0.00087131,7.04E-06,6.71E-05,"2,734,755",-5.86459332,,7.3,-0.051948052,
46,Q2.2020,France,FRA,HUR,TOT,PC_LF,M,2020-07,9.4,,7/3/2020,FR,EURO,480,158286,14,29791,66.941698,7.17E-06,0.002364535,2.09E-07,0.000445029,"2,361,420",-13.50198395,,9.4,0.287671233,
81,Q3.2020,France,FRA,HUR,TOT,PC_LF,M,2020-10,8.6,,10/3/2020,FR,EURO,11543,563796,118,31926,66.941698,0.000172434,0.008422194,1.76E-06,0.000476922,"2,798,512",18.4555934,-0.037121499,8.6,-0.085106383,0.104651163
117,Q4.2019,Germany,DEU,HUR,TOT,PC_LF,M,2020-01,3.4,,1/3/2020,DE,EURO,0,0,0,0,82.914191,0,0,0,0,"4,161,415",-0.018690252,,3.4,0.088235294,
12,Q1.2020,Germany,DEU,HUR,TOT,PC_LF,M,2020-04,4,,4/3/2020,DE,EURO,6174,79696,145,1017,82.914191,7.45E-05,0.000961186,1.75E-06,1.23E-05,"4,078,379",-1.995362523,,4,0.176470588,
47,Q2.2020,Germany,DEU,HUR,TOT,PC_LF,M,2020-07,4.4,,7/3/2020,DE,EURO,446,195674,9,9003,82.914191,5.38E-06,0.002359958,1.09E-07,0.000108582,"3,682,481",-9.707251417,,4.4,0.1,
82,Q3.2020,Germany,DEU,HUR,TOT,PC_LF,M,2020-10,4.5,,10/3/2020,DE,EURO,2563,296958,19,9527,82.914191,3.09E-05,0.00358151,2.29E-07,0.000114902,"3,995,933",8.511985604,-0.039765801,4.5,0.022727273,0.244444444
118,Q4.2019,Greece,GRC,HUR,TOT,PC_LF,M,2020-01,16.4,,1/3/2020,GR,EURO,0,0,0,0,10.725886,0,0,0,0,"300,964",0.473879523,,16.4,-0.018292683,
13,Q1.2020,Greece,GRC,HUR,TOT,PC_LF,M,2020-04,16.2,,4/3/2020,GR,EURO,139,1514,3,53,10.725886,1.30E-05,0.000141154,2.80E-07,4.94E-06,"301,354",0.129790373,,16.2,-0.012195122,
48,Q2.2020,Greece,GRC,HUR,TOT,PC_LF,M,2020-07,16.7,,7/3/2020,GR,EURO,26,3458,0,192,10.725886,2.42E-06,0.000322398,0,1.79E-05,"258,719",-14.14776204,,16.7,0.030864198,
83,Q3.2020,Greece,GRC,HUR,TOT,PC_LF,M,2020-10,16.7,,10/3/2020,GR,EURO,460,19346,5,398,10.725886,4.29E-05,0.001803674,4.66E-07,3.71E-05,"264,644",2.290037872,-0.120678885,16.7,0,0.017964072
119,Q4.2019,Hungary,HUN,HUR,TOT,PC_LF,M,2020-01,3.4,,1/3/2020,HU,EURO,0,0,0,0,9.7676,0,0,0,0,"313,378",0.634506772,,3.4,-0.058823529,
14,Q1.2020,Hungary,HUN,HUR,TOT,PC_LF,M,2020-04,4.1,,4/3/2020,HU,EURO,38,623,5,26,9.7676,3.89E-06,6.38E-05,5.12E-07,2.66E-06,"312,275",-0.351820843,,4.1,0.205882353,
49,Q2.2020,Hungary,HUN,HUR,TOT,PC_LF,M,2020-07,4.6,,7/3/2020,HU,EURO,9,4166,1,587,9.7676,9.21E-07,0.000426512,1.02E-07,6.01E-05,"266,738",-14.5825665,,4.6,0.12195122,
84,Q3.2020,Hungary,HUN,HUR,TOT,PC_LF,M,2020-10,4.5,,10/3/2020,HU,EURO,1086,29717,14,812,9.7676,0.000111184,0.003042406,1.43E-06,8.31E-05,"297,105",11.38472413,-0.051927704,4.5,-0.02173913,0.244444444
120,Q4.2019,Iceland,ISL,HUR,TOT,PC_LF,M,2020-01,4.1,,1/3/2020,IS,EURO,0,0,0,0,0.352722,0,0,0,0,"19,821",6.211608107,,4.1,0.073170732,
15,Q1.2020,Iceland,ISL,HUR,TOT,PC_LF,M,2020-04,4.8,,4/3/2020,IS,EURO,99,1319,2,4,0.352722,0.000280674,0.003739489,5.67E-06,1.13E-05,"18,315",-7.600387833,,4.8,0.170731707,
50,Q2.2020,Iceland,ISL,HUR,TOT,PC_LF,M,2020-07,5.3,,7/3/2020,IS,EURO,5,1830,0,10,0.352722,1.42E-05,0.005188222,0,2.84E-05,"16,975",-7.314675727,,5.3,0.104166667,
85,Q3.2020,Iceland,ISL,HUR,TOT,PC_LF,M,2020-10,5.9,,10/3/2020,IS,EURO,40,2809,0,10,0.352722,0.000113404,0.007963779,0,2.84E-05,"17,414",2.58498745,-0.12143686,5.9,0.113207547,0.305084746
121,Q4.2019,Ireland,IRL,HUR,TOT,PC_LF,M,2020-01,4.9,,1/3/2020,IE,EURO,0,0,0,0,4.857015,0,0,0,0,"433,142",4.265485715,,4.9,0.06122449,
16,Q1.2020,Ireland,IRL,HUR,TOT,PC_LF,M,2020-04,4.7,,4/3/2020,IE,EURO,402,3849,13,98,4.857015,8.28E-05,0.000792462,2.68E-06,2.02E-05,"417,865",-3.527067979,,4.7,-0.040816327,
51,Q2.2020,Ireland,IRL,HUR,TOT,PC_LF,M,2020-07,6.2,,7/3/2020,IE,EURO,12,25489,0,1738,4.857015,2.47E-06,0.005247873,0,0.000357833,"404,491",-3.200561874,,6.2,0.319148936,
86,Q3.2020,Ireland,IRL,HUR,TOT,PC_LF,M,2020-10,7.1,,10/3/2020,IE,EURO,466,37063,-5,1801,4.857015,9.59E-05,0.007630819,-1.03E-06,0.000370804,"449,200",11.05322944,0.037073292,7.1,0.14516129,0.309859155
122,Q4.2019,Israel,ISR,HUR,TOT,PC_LF,M,2020-01,3.644195,,1/3/2020,IL,EURO,0,0,0,0,8.872943,0,0,0,0,"347,072",1.141136673,,3.644195,0.024309072,
17,Q1.2020,Israel,ISR,HUR,TOT,PC_LF,M,2020-04,3.670104,,4/3/2020,IL,EURO,696,6421,8,29,8.872943,7.84E-05,0.000723661,9.02E-07,3.27E-06,"341,032",-1.740358281,,3.670104,0.007109663,
52,Q2.2020,Israel,ISR,HUR,TOT,PC_LF,M,2020-07,4.661653,,7/3/2020,IL,EURO,972,26421,3,330,8.872943,0.000109547,0.002977704,3.38E-07,3.72E-05,"312,098",-8.48422744,,4.661653,0.270169183,
87,Q3.2020,Israel,ISR,HUR,TOT,PC_LF,M,2020-10,4.688548,,10/3/2020,IL,EURO,7730,255149,46,1651,8.872943,0.000871188,0.028755848,5.18E-06,0.000186071,"340,401",9.068624087,-0.019220796,4.688548,0.005769413,0.222745507
123,Q4.2019,Italy,ITA,HUR,TOT,PC_LF,M,2020-01,9.6,,1/3/2020,IT,EURO,0,0,0,0,60.421797,0,0,0,0,"2,332,359",-0.361449601,,9.6,0.020833333,
18,Q1.2020,Italy,ITA,HUR,TOT,PC_LF,M,2020-04,7.4,,4/3/2020,IT,EURO,4668,115242,760,13917,60.421797,7.73E-05,0.001907292,1.26E-05,0.000230331,"2,203,389",-5.529588976,,7.4,-0.229166667,
53,Q2.2020,Italy,ITA,HUR,TOT,PC_LF,M,2020-07,9.7,,7/3/2020,IT,EURO,201,240961,30,34818,60.421797,3.33E-06,0.003987981,4.97E-07,0.000576249,"1,915,990",-13.04351139,,9.7,0.310810811,
88,Q3.2020,Italy,ITA,HUR,TOT,PC_LF,M,2020-10,9.5,,10/3/2020,IT,EURO,2499,319908,23,35941,60.421797,4.14E-05,0.005294579,3.81E-07,0.000594835,"2,221,904",15.96637729,-0.047357632,9.5,-0.020618557,-0.010526316
124,Q4.2019,Japan,JPN,HUR,TOT,PC_LF,M,2020-01,2.4,,1/3/2020,JP,WPRO,0,0,0,0,126.44318,0,0,0,0,"5,303,314",-1.836884,,2.4,0,
19,Q1.2020,Japan,JPN,HUR,TOT,PC_LF,M,2020-04,2.6,,4/3/2020,JP,WPRO,233,2617,8,65,126.44318,1.84E-06,2.07E-05,6.33E-08,5.14E-07,"5,273,365",-0.564724465,,2.6,0.083333333,
54,Q2.2020,Japan,JPN,HUR,TOT,PC_LF,M,2020-07,2.9,,7/3/2020,JP,WPRO,194,19068,1,976,126.44318,1.53E-06,0.000150803,7.91E-09,7.72E-06,"4,835,620",-8.301064833,,2.9,0.115384615,
89,Q3.2020,Japan,JPN,HUR,TOT,PC_LF,M,2020-10,3.1,,10/3/2020,JP,WPRO,553,84768,12,1590,126.44318,4.37E-06,0.000670404,9.49E-08,1.26E-05,"5,089,803",5.256478819,-0.04025992,3.1,0.068965517,0.225806452
125,Q4.2019,Latvia,LVA,HUR,TOT,PC_LF,M,2020-01,7,,1/3/2020,LV,EURO,0,0,0,0,1.92717,0,0,0,0,"55,692",0.04380903,,7,0.171428571,
20,Q1.2020,Latvia,LVA,HUR,TOT,PC_LF,M,2020-04,8.2,,4/3/2020,LV,EURO,12,458,0,0,1.92717,6.23E-06,0.000237654,0,0,"54,429",-2.314114922,,8.2,0.171428571,
55,Q2.2020,Latvia,LVA,HUR,TOT,PC_LF,M,2020-07,8.8,,7/3/2020,LV,EURO,1,1122,0,30,1.92717,5.19E-07,0.000582201,0,1.56E-05,"50,577",-6.973003112,,8.8,0.073170732,
90,Q3.2020,Latvia,LVA,HUR,TOT,PC_LF,M,2020-10,8.1,,10/3/2020,LV,EURO,77,1945,1,38,1.92717,4.00E-05,0.001009252,5.19E-07,1.97E-05,"54,184",6.882230778,-0.027077498,8.1,-0.079545455,0.135802469
126,Q4.2019,Liechtenstein,LTU,HUR,TOT,PC_LF,M,2020-01,6.1,,1/3/2020,LI,EURO,0,0,0,0,2.801541,0,0,0,0,NA,,,6.1,-0.049180328,
21,Q1.2020,Liechtenstein,LTU,HUR,TOT,PC_LF,M,2020-04,7.8,,4/3/2020,LI,EURO,1,77,0,0,2.801541,3.57E-07,2.75E-05,0,0,NA,,,7.8,0.278688525,
56,Q2.2020,Liechtenstein,LTU,HUR,TOT,PC_LF,M,2020-07,9.6,,7/3/2020,LI,EURO,0,84,0,1,2.801541,0,3.00E-05,0,3.57E-07,NA,,,9.6,0.230769231,
91,Q3.2020,Liechtenstein,LTU,HUR,TOT,PC_LF,M,2020-10,10.4,,10/3/2020,LI,EURO,3,125,0,1,2.801541,1.07E-06,4.46E-05,0,3.57E-07,NA,,,10.4,0.083333333,0.413461538
127,Q4.2019,Luxembourg,LUX,HUR,TOT,PC_LF,M,2020-01,5.7,,1/3/2020,LU,EURO,0,0,0,0,0.60795,0,0,0,0,"67,051",0.178134133,,5.7,0.035087719,
22,Q1.2020,Luxembourg,LUX,HUR,TOT,PC_LF,M,2020-04,7.4,,4/3/2020,LU,EURO,168,2487,1,30,0.60795,0.000276339,0.004090797,1.64E-06,4.93E-05,"66,074",-1.551888471,,7.4,0.298245614,
57,Q2.2020,Luxembourg,LUX,HUR,TOT,PC_LF,M,2020-07,7.2,,7/3/2020,LU,EURO,50,4395,0,110,0.60795,8.22E-05,0.007229213,0,0.000180936,"61,178",-7.280518576,,7.2,-0.027027027,
92,Q3.2020,Luxembourg,LUX,HUR,TOT,PC_LF,M,2020-10,6.5,,10/3/2020,LU,EURO,114,8709,0,125,0.60795,0.000187515,0.014325191,0,0.000205609,"67,200",9.335171985,0.002222189,6.5,-0.097222222,0.123076923
128,Q4.2019,Mexico,MEX,HUR,TOT,PC_LF,M,2020-01,3.656332,,1/3/2020,MX,AMRO,0,0,0,0,125.327797,0,0,0,0,"2,373,925",-0.637792726,,3.656332,0.024227012,
23,Q1.2020,Mexico,MEX,HUR,TOT,PC_LF,M,2020-04,4.801267,,4/3/2020,MX,AMRO,163,1378,8,37,125.327797,1.30E-06,1.10E-05,6.38E-08,2.95E-07,"2,344,547",-1.23751342,,4.801267,0.313137593,
58,Q2.2020,Mexico,MEX,HUR,TOT,PC_LF,M,2020-07,5.120639,,7/3/2020,MX,AMRO,5681,231770,741,28510,125.327797,4.53E-05,0.00184931,5.91E-06,0.000227483,"1,947,124",-16.95096495,,5.120639,0.066518275,
93,Q3.2020,Mexico,MEX,HUR,TOT,PC_LF,M,2020-10,4.60241,,10/3/2020,MX,AMRO,5099,748315,432,78078,125.327797,4.07E-05,0.005970862,3.45E-06,0.00062299,"2,183,080",12.11818304,-0.080392178,4.60241,-0.101203971,0.205561434
129,Q4.2019,Netherlands,NLD,HUR,TOT,PC_LF,M,2020-01,3,,1/3/2020,NL,EURO,0,0,0,0,17.231622,0,0,0,0,"937,769",0.45347504,,3,-0.166666667,
24,Q1.2020,Netherlands,NLD,HUR,TOT,PC_LF,M,2020-04,3.4,,4/3/2020,NL,EURO,1083,14543,155,1292,17.231622,6.28E-05,0.000843972,9.00E-06,7.50E-05,"923,754",-1.494445659,,3.4,0.133333333,
59,Q2.2020,Netherlands,NLD,HUR,TOT,PC_LF,M,2020-07,4.5,,7/3/2020,NL,EURO,75,50196,3,6092,17.231622,4.35E-06,0.002913017,1.74E-07,0.000353536,"844,846",-8.542121912,,4.5,0.323529412,
94,Q3.2020,Netherlands,NLD,HUR,TOT,PC_LF,M,2020-10,4.3,,10/3/2020,NL,EURO,3804,127659,9,6427,17.231622,0.000220757,0.007408415,5.22E-07,0.000372977,"910,341",7.752326244,-0.029248141,4.3,-0.044444444,0.302325581
130,Q4.2019,Norway,NOR,HUR,TOT,PC_LF,M,2020-01,3.7,,1/3/2020,NO,EURO,0,0,0,0,5.311916,0,0,0,0,"335,678",1.734618169,,3.7,-0.027027027,
25,Q1.2020,Norway,NOR,HUR,TOT,PC_LF,M,2020-04,4.1,,4/3/2020,NO,EURO,270,4935,10,42,5.311916,5.08E-05,0.000929043,1.88E-06,7.91E-06,"330,901",-1.422991929,,4.1,0.108108108,
60,Q2.2020,Norway,NOR,HUR,TOT,PC_LF,M,2020-07,5.2,,7/3/2020,NO,EURO,8,8895,0,251,5.311916,1.51E-06,0.001674537,0,4.73E-05,"315,681",-4.599674659,,5.2,0.268292683,
95,Q3.2020,Norway,NOR,HUR,TOT,PC_LF,M,2020-10,5.2,,10/3/2020,NO,EURO,122,14149,1,275,5.311916,2.30E-05,0.002663634,1.88E-07,5.18E-05,"329,756",4.458578641,-0.017641907,5.2,0,0.288461538
131,Q4.2019,Poland,POL,HUR,TOT,PC_LF,M,2020-01,3,,1/3/2020,PL,EURO,0,0,0,0,38.413139,0,0,0,0,"1,226,149",0.248456319,,3,0,
26,Q1.2020,Poland,POL,HUR,TOT,PC_LF,M,2020-04,3.1,,4/3/2020,PL,EURO,392,2946,14,57,38.413139,1.02E-05,7.67E-05,3.64E-07,1.48E-06,"1,222,948",-0.261036528,,3.1,0.033333333,
61,Q2.2020,Poland,POL,HUR,TOT,PC_LF,M,2020-07,3.4,,7/3/2020,PL,EURO,371,35146,15,1492,38.413139,9.66E-06,0.000914947,3.90E-07,3.88E-05,"1,112,875",-9.000663935,,3.4,0.096774194,
96,Q3.2020,Poland,POL,HUR,TOT,PC_LF,M,2020-10,3.4,,10/3/2020,PL,EURO,2292,95773,27,2570,38.413139,5.97E-05,0.002493235,7.03E-07,6.69E-05,"1,200,550",7.87821821,-0.020877561,3.4,0,0.117647059
132,Q4.2019,Portugal,PRT,HUR,TOT,PC_LF,M,2020-01,6.8,,1/3/2020,PT,EURO,0,0,0,0,10.283822,0,0,0,0,"343,962",0.662808505,,6.8,0.044117647,
27,Q1.2020,Portugal,PRT,HUR,TOT,PC_LF,M,2020-04,6.3,,4/3/2020,PT,EURO,783,9034,22,209,10.283822,7.61E-05,0.000878467,2.14E-06,2.03E-05,"330,355",-3.956044532,,6.3,-0.073529412,
62,Q2.2020,Portugal,PRT,HUR,TOT,PC_LF,M,2020-07,7.9,,7/3/2020,PT,EURO,328,42782,8,1587,10.283822,3.19E-05,0.004160126,7.78E-07,0.00015432,"284,385",-13.91529665,,7.9,0.253968254,
97,Q3.2020,Portugal,PRT,HUR,TOT,PC_LF,M,2020-10,7.5,,10/3/2020,PT,EURO,888,77284,6,1983,10.283822,8.63E-05,0.007515105,5.83E-07,0.000192827,"322,072",13.25219308,-0.063640751,7.5,-0.050632911,0.093333333
133,Q4.2019,Republic of Korea,KOR,HUR,TOT,PC_LF,M,2020-01,3.9,,1/3/2020,KR,WPRO,0,0,0,0,51.635256,0,0,0,0,"2,186,931",1.311630082,,3.9,0.102564103,
28,Q1.2020,Republic of Korea,KOR,HUR,TOT,PC_LF,M,2020-04,3.8,,4/3/2020,KR,WPRO,86,10062,5,174,51.635256,1.67E-06,0.000194867,9.68E-08,3.37E-06,"2,158,901",-1.281701518,,3.8,-0.025641026,
63,Q2.2020,Republic of Korea,KOR,HUR,TOT,PC_LF,M,2020-07,4.1,,7/3/2020,KR,WPRO,61,12965,0,282,51.635256,1.18E-06,0.000251088,0,5.46E-06,"2,090,813",-3.153851888,,4.1,0.078947368,
98,Q3.2020,Republic of Korea,KOR,HUR,TOT,PC_LF,M,2020-10,4.2,,10/3/2020,KR,WPRO,75,24027,4,420,51.635256,1.45E-06,0.000465322,7.75E-08,8.13E-06,"2,135,476",2.136144877,-0.023528406,4.2,0.024390244,0.071428571
134,Q4.2019,Slovakia,SVK,HUR,TOT,PC_LF,M,2020-01,6,,1/3/2020,SK,EURO,0,0,0,0,5.446771,0,0,0,0,"182,626",0.586932948,,6,0.05,
