"","Quarter","Country","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag.Codes","Date_reported","Country_code","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Population","New_cases_pc","Cumulative_cases_pc","New_deaths_pc","Cumulative_deaths_pc","GDP"
"11","Q1.2020","France","FRA","HUR","TOT","PC_LF","M","2020-04",7.3,"","4/3/2020","FR","EURO",2066,58327,471,4490,66.941698,3.08627e-05,0.00087131,7.03597e-06,6.70733e-05,"2,734,755"
"12","Q1.2020","Germany","DEU","HUR","TOT","PC_LF","M","2020-04",4,"","4/3/2020","DE","EURO",6174,79696,145,1017,82.914191,7.44625e-05,0.000961186,1.7488e-06,1.22657e-05,"4,078,379"
"13","Q1.2020","Greece","GRC","HUR","TOT","PC_LF","M","2020-04",16.2,"","4/3/2020","GR","EURO",139,1514,3,53,10.725886,1.29593e-05,0.000141154,2.79697e-07,4.94132e-06,"301,354"
"14","Q1.2020","Hungary","HUN","HUR","TOT","PC_LF","M","2020-04",4.1,"","4/3/2020","HU","EURO",38,623,5,26,9.7676,3.89041e-06,6.37823e-05,5.11896e-07,2.66186e-06,"312,275"
"15","Q1.2020","Iceland","ISL","HUR","TOT","PC_LF","M","2020-04",4.8,"","4/3/2020","IS","EURO",99,1319,2,4,0.352722,0.000280674,0.003739489,5.67019e-06,1.13404e-05,"18,315"
"16","Q1.2020","Ireland","IRL","HUR","TOT","PC_LF","M","2020-04",4.7,"","4/3/2020","IE","EURO",402,3849,13,98,4.857015,8.27669e-05,0.000792462,2.67654e-06,2.0177e-05,"417,865"
"17","Q1.2020","Israel","ISR","HUR","TOT","PC_LF","M","2020-04",3.670104,"","4/3/2020","IL","EURO",696,6421,8,29,8.872943,7.84407e-05,0.000723661,9.01617e-07,3.26836e-06,"341,032"
"18","Q1.2020","Italy","ITA","HUR","TOT","PC_LF","M","2020-04",7.4,"","4/3/2020","IT","EURO",4668,115242,760,13917,60.421797,7.72569e-05,0.001907292,1.25782e-05,0.000230331,"2,203,389"
"19","Q1.2020","Japan","JPN","HUR","TOT","PC_LF","M","2020-04",2.6,"","4/3/2020","JP","WPRO",233,2617,8,65,126.44318,1.84272e-06,2.0697e-05,6.32695e-08,5.14065e-07,"5,273,365"
"20","Q1.2020","Latvia","LVA","HUR","TOT","PC_LF","M","2020-04",8.2,"","4/3/2020","LV","EURO",12,458,0,0,1.92717,6.22675e-06,0.000237654,0,0,"54,429"
"21","Q1.2020","Liechtenstein","LTU","HUR","TOT","PC_LF","M","2020-04",7.8,"","4/3/2020","LI","EURO",1,77,0,0,2.801541,3.56946e-07,2.74849e-05,0,0,NA
"22","Q1.2020","Luxembourg","LUX","HUR","TOT","PC_LF","M","2020-04",7.4,"","4/3/2020","LU","EURO",168,2487,1,30,0.60795,0.000276339,0.004090797,1.64487e-06,4.93462e-05,"66,074"
"23","Q1.2020","Mexico","MEX","HUR","TOT","PC_LF","M","2020-04",4.801267,"","4/3/2020","MX","AMRO",163,1378,8,37,125.327797,1.30059e-06,1.09952e-05,6.38326e-08,2.95226e-07,"2,344,547"
