"","Quarter","Country","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag.Codes","Date_reported","Country_code","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Population","New_cases_pc","Cumulative_cases_pc","New_deaths_pc","Cumulative_deaths_pc","GDP"
"103","Q2.2020","Turkey","TUR","HUR","TOT","PC_LF","M","2020-07",13.8,"","7/3/2020","TR","EURO",1186,202284,17,5167,81.407211,1.45687e-05,0.002484841,2.08827e-07,6.3471e-05,"2,133,117"
"104","Q2.2020","United States of America","USA","HUR","TOT","PC_LF","M","2020-07",10.2,"","7/3/2020","US","AMRO",54271,2671220,725,127858,327.167434,0.000165881,0.008164688,2.21599e-06,0.000390803,"18,102,646"
"105","Q3.2020","","OECD","HUR","TOT","PC_LF","M","2020-10",7.046282,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Q3.2020","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,"10/3/2020","AR","AMRO",14001,765002,3351,20288,44.494502,0.000314668,0.01719318,7.53127e-05,0.000455966,NA
"107","Q3.2020","Australia","AUS","HUR","TOT","PC_LF","M","2020-10",6.987514,"","10/3/2020","AU","WPRO",17,27113,2,890,24.99286,6.80194e-07,0.00108483,8.00229e-08,3.56102e-05,"1,185,442"
"108","Q3.2020","Austria","AUT","HUR","TOT","PC_LF","M","2020-10",5.4,"","10/3/2020","AT","EURO",872,47189,1,803,8.837707,9.86681e-05,0.005339507,1.13152e-07,9.08607e-05,"449,546"
"109","Q3.2020","Belgium","BEL","HUR","TOT","PC_LF","M","2020-10",6.3,"","10/3/2020","BE","EURO",3721,132825,11,10037,11.40374,0.000326296,0.011647495,9.64596e-07,0.00088015,"532,052"
"110","Q3.2020","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"10/3/2020","BR","AMRO",36157,4847092,728,144680,208.4949,0.000173419,0.023248012,3.49169e-06,0.000693926,"2,927,861"
"111","Q3.2020","Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,"10/3/2020","BG","EURO",240,21336,6,838,7.025037,3.41635e-05,0.003037137,8.54088e-07,0.000119288,"143,572"
"112","Q3.2020","Canada","CAN","HUR","TOT","PC_LF","M","2020-10",9,"","10/3/2020","CA","AMRO",1777,160535,22,9319,37.058856,4.79508e-05,0.004331893,5.9365e-07,0.000251465,"1,650,028"
"113","Q3.2020","Chile","CHL","HUR","TOT","PC_LF","M","2020-10",11.17528,"","10/3/2020","CL","AMRO",1840,466590,45,12867,18.751405,9.8126e-05,0.024882935,2.39982e-06,0.000686189,"403,125"
"114","Q3.2020","China",NA,NA,NA,NA,NA,NA,NA,NA,"10/3/2020","CN","WPRO",19,91101,0,4746,1415.045928,1.34271e-08,6.43802e-05,0,3.35395e-06,NA
"115","Q3.2020","Colombia","COL","HUR","TOT","PC_LF","M","2020-10",16.05399,"","10/3/2020","CO","AMRO",5660,835339,198,26196,49.83424,0.000113577,0.016762351,3.97317e-06,0.000525663,"631,906"
"116","Q3.2020","Costa Rica",NA,NA,NA,NA,NA,NA,NA,NA,"10/3/2020","CR","AMRO",1068,76828,13,917,5.003402,0.000213455,0.015355152,2.59823e-06,0.000183275,"90,930"
"117","Q3.2020","Croatia",NA,NA,NA,NA,NA,NA,NA,NA,"10/3/2020","HR","EURO",333,17160,7,291,4.080666,8.16043e-05,0.004205196,1.71541e-06,7.13119e-05,NA
"118","Q3.2020","Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,"10/3/2020","CY","EURO",17,1789,0,22,0.869006,1.95626e-05,0.002058674,0,2.53163e-05,NA
"119","Q3.2020","Czechia","CZE","HUR","TOT","PC_LF","M","2020-10",2.8,"","10/3/2020","CZ","EURO",3796,78051,21,699,10.62643,0.000357223,0.007344988,1.9762e-06,6.57794e-05,"387,876"
"120","Q3.2020","Denmark","DNK","HUR","TOT","PC_LF","M","2020-10",5.9,"","10/3/2020","DK","EURO",536,28932,1,652,5.789957,9.25741e-05,0.004996928,1.72713e-07,0.000112609,"301,042"
"121","Q3.2020","Estonia","EST","HUR","TOT","PC_LF","M","2020-10",8.1,"","10/3/2020","EE","EURO",57,3507,1,66,1.321977,4.31172e-05,0.002652845,7.56443e-07,4.99252e-05,"44,756"
"122","Q3.2020","Finland","FIN","HUR","TOT","PC_LF","M","2020-10",8.2,"","10/3/2020","FI","EURO",101,10204,1,345,5.515525,1.83119e-05,0.001850051,1.81306e-07,6.25507e-05,"246,765"
"123","Q3.2020","France","FRA","HUR","TOT","PC_LF","M","2020-10",8.6,"","10/3/2020","FR","EURO",11543,563796,118,31926,66.941698,0.000172434,0.008422194,1.76273e-06,0.000476922,"2,798,512"
"124","Q3.2020","Germany","DEU","HUR","TOT","PC_LF","M","2020-10",4.5,"","10/3/2020","DE","EURO",2563,296958,19,9527,82.914191,3.09115e-05,0.00358151,2.29153e-07,0.000114902,"3,995,933"
"125","Q3.2020","Greece","GRC","HUR","TOT","PC_LF","M","2020-10",16.7,"","10/3/2020","GR","EURO",460,19346,5,398,10.725886,4.28869e-05,0.001803674,4.66162e-07,3.71065e-05,"264,644"
"126","Q3.2020","Hungary","HUN","HUR","TOT","PC_LF","M","2020-10",4.5,"","10/3/2020","HU","EURO",1086,29717,14,812,9.7676,0.000111184,0.003042406,1.43331e-06,8.3132e-05,"297,105"
"127","Q3.2020","Iceland","ISL","HUR","TOT","PC_LF","M","2020-10",5.9,"","10/3/2020","IS","EURO",40,2809,0,10,0.352722,0.000113404,0.007963779,0,2.83509e-05,"17,414"
